painting,paintingLabel,artistLabel,locationLabel,locationCoord,year,image
http://www.wikidata.org/entity/Q52775046,Christi Abschied von seiner Mutter,Master of Messkirch,Schloss Donaueschingen,Point(8.503083333 47.952194444),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg
http://www.wikidata.org/entity/Q97323065,Q97323065,Juan de Borgoña,Girona Museum of Art,Point(2.82605 41.986844),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q56346244,Portrait of Eleanor of Austria,Joos van Cleve,National Museum of Ancient Art,Point(-9.16072 38.7053),1530,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20Eleanor%20of%20Austria.jpg
http://www.wikidata.org/entity/Q97323065,Q97323065,Pere Fontaines,Girona Museum of Art,Point(2.8264056 41.9869917),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q65047099,Calavera,Juan de Juanes,Museu de Belles Arts de València,Point(-0.370833333 39.479166666),1600,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20de%20Juanes%20-%20In%20omnibus%20operibus.jpg
http://www.wikidata.org/entity/Q61964373,Saint Damian,Bartolomé Bermejo,National Museum of Ancient Art,Point(-9.16072 38.7053),1477,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20%281440-1495%29%20-%20De%20heilige%20Damiaan%20%28ca.1490%29%20-%20Lissabon%20Museu%20Nacional%20de%20Arte%20Antiga%2019-10-2010%2016-12-101.jpg
http://www.wikidata.org/entity/Q28807609,Wedding in a peasant house.,http://www.wikidata.org/.well-known/genid/1c23a6554e78bf34051949f46acbcf3d,museum storage,,1601,http://commons.wikimedia.org/wiki/Special:FilePath/Nieznany%20malarz%20flamandzki%20-%20Wedding%20party%20in%20a%20peasant%20family%20-%20M.Ob.1721%20-%20National%20Museum%20in%20Warsaw.jpg
http://www.wikidata.org/entity/Q61965121,Descent from the Cross,Bartolomé Bermejo,Saragossa Museum,Point(-0.8786 41.6482),1477,http://commons.wikimedia.org/wiki/Special:FilePath/Descendimiento%2C%20de%20Bartolom%C3%A9%20Bermejo%20y%20Mart%C3%ADn%20Bernat%20%28Museo%20de%20Zaragoza%29.JPG
http://www.wikidata.org/entity/Q61910620,The Arrest of Santa Engracia,Bartolomé Bermejo,San Diego Museum of Art,Point(-117.15043 32.732158),1477,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20arrest%204117.jpg
http://www.wikidata.org/entity/Q97323065,Q97323065,Juan de Borgoña,Girona Museum of Art,Point(2.8264056 41.9869917),1600,http://commons.wikimedia.org/wiki/Special:FilePath/SantFeliu-JBorgunya-predicaci%C3%B3.jpg
http://www.wikidata.org/entity/Q66134604,Madonna with grapes,http://www.wikidata.org/.well-known/genid/b19541a1d8ca1b0914af9ffe84028d79,Museum of Fine Arts of Córdoba,Point(-4.774777777 37.88125),1583,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20racimo%20-%20CE2206P.jpg
http://www.wikidata.org/entity/Q52729031,Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,Master of Messkirch,Staatsgalerie Stuttgart,Point(9.186875 48.780227777),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg
http://www.wikidata.org/entity/Q61962938,Q61962938,Martín Bernat,Grand Rapids Art Museum,Point(-85.6714 42.965),1479,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Misericordia%20Marededeu%204136.jpg
http://www.wikidata.org/entity/Q61903346,Nursing Madonna,Bartolomé Bermejo,Museu de Belles Arts de València,Point(-0.370833333 39.479166666),1470,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%2C%20Mare%20de%20D%C3%A9u%20de%20la%20Llet%2C%20Museu%20de%20Belles%20Arts%20de%20Val%C3%A8ncia.jpg
http://www.wikidata.org/entity/Q66287947,Q66287947,http://www.wikidata.org/.well-known/genid/34d7e09237beaae59e8bc6e24ba9444b,Museum of Fine Arts of Córdoba,Point(-4.774777777 37.88125),1600,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20velo%20%28CE2454P%29%20-%20Anonymous%2C%20copy%20of%20Raffaello%20Sanzio.jpg
http://www.wikidata.org/entity/Q52727188,Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,Master of Messkirch,Staatsgalerie Stuttgart,Point(9.186875 48.780227777),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg
http://www.wikidata.org/entity/Q104630564,Saint John the Baptist by Ercole de' Roberti,Ercole de' Roberti,Gemäldegalerie,Point(13.364722222 52.508611111),1480,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20der%20T%C3%A4ufer%20-%20Gem%C3%A4ldegalerie%20Berlin%20-%204280678.jpg
http://www.wikidata.org/entity/Q52776229,The capture of Christ,Master of Messkirch,Staatsgalerie Stuttgart,Point(9.186875 48.780227777),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg
http://www.wikidata.org/entity/Q29018377,Q29018377,Bartolomé Bermejo,Cathedral of the Holy Cross and Saint Eulalia,Point(2.176388888 41.383888888),1490,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Pietat%20Despla%204153.jpg
http://www.wikidata.org/entity/Q52725477,Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,Master of Messkirch,Fürstenberg Collection,Point(8.503015 47.953035),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg
http://www.wikidata.org/entity/Q61905266,Christ of the Mercy,Bartolomé Bermejo,Peralada Castle,Point(3.010833 42.307562),1475,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20Crist%20de%20la%20Pietat%204106.jpg
http://www.wikidata.org/entity/Q61910620,The Arrest of Santa Engracia,Bartolomé Bermejo,San Diego Museum of Art,Point(-117.15 32.732194),1477,http://commons.wikimedia.org/wiki/Special:FilePath/B.Bermejo%20ret.Sta.Engracia%20arrest%204117.jpg
http://www.wikidata.org/entity/Q61910145,Sainte Engratia,Bartolomé Bermejo,Isabella Stewart Gardner Museum,Point(-71.099121 42.33818),1474,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Engratia.JPG
http://www.wikidata.org/entity/Q52775046,Christi Abschied von seiner Mutter,Master of Messkirch,Fürstenberg Collection,Point(8.503015 47.953035),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg
http://www.wikidata.org/entity/Q52729031,Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,Master of Messkirch,Meßkirch Castle,Point(9.11008333 47.99295833),1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg
