paintingLabel,artistLabel,locationLabel,year,image,longitude,latitude
Madonna of the Yarnwinder,http://www.wikidata.org/.well-known/genid/836e1aa3c500268ac8800777cd3981a3,Museum of Fine Arts of Córdoba,1600,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20de%20los%20husos%20%28Museo%20de%20Bellas%20Artes%20de%20C%C3%B3rdoba%29.jpg,-117.073645,32.777508
Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,Master of Messkirch,Schloss Donaueschingen,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Mitteltafel-0014.jpg,8.503338440838942,47.95206025
Chess player's novella,Liberale da Verona,Metropolitan Museum of Art,1475,http://commons.wikimedia.org/wiki/Special:FilePath/Liberale%20da%20verona%2C%20scena%20dalla%20novella%20del%20giocatore%20di%20scacchi%2C%201467-1476%2C%2001.JPG,100.5458071,13.7348443
Venus and Cupid.,http://www.wikidata.org/.well-known/genid/de543f7305134971f8c920a9834197ce,museum storage,1528,http://commons.wikimedia.org/wiki/Special:FilePath/Leyden%20Venus%20and%20Cupid.jpg,-89.23979340634538,37.70894045
Christi Abschied von seiner Mutter,Master of Messkirch,Schloss Donaueschingen,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016-2.jpg,8.503338440838942,47.95206025
Portrait of Eleanor of Austria,Joos van Cleve,National Museum of Ancient Art,1530,http://commons.wikimedia.org/wiki/Special:FilePath/Cleve%20Eleanor%20of%20Austria.jpg,-9.161465665614319,38.70478525
Calavera,Juan de Juanes,Museu de Belles Arts de València,1600,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20de%20Juanes%20-%20In%20omnibus%20operibus.jpg,-0.3710264334737524,39.479289
Wedding in a peasant house.,http://www.wikidata.org/.well-known/genid/1c23a6554e78bf34051949f46acbcf3d,museum storage,1601,http://commons.wikimedia.org/wiki/Special:FilePath/Nieznany%20malarz%20flamandzki%20-%20Wedding%20party%20in%20a%20peasant%20family%20-%20M.Ob.1721%20-%20National%20Museum%20in%20Warsaw.jpg,-89.23979340634538,37.70894045
Madonna with grapes,http://www.wikidata.org/.well-known/genid/b19541a1d8ca1b0914af9ffe84028d79,Museum of Fine Arts of Córdoba,1583,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20racimo%20-%20CE2206P.jpg,-117.073645,32.777508
Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,Master of Messkirch,Staatsgalerie Stuttgart,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20rechts-offen0005.jpg,9.187105267010025,48.78021455
Nursing Madonna,Bartolomé Bermejo,Museu de Belles Arts de València,1470,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%2C%20Mare%20de%20D%C3%A9u%20de%20la%20Llet%2C%20Museu%20de%20Belles%20Arts%20de%20Val%C3%A8ncia.jpg,-0.3710264334737524,39.479289
Q66287947,http://www.wikidata.org/.well-known/genid/34d7e09237beaae59e8bc6e24ba9444b,Museum of Fine Arts of Córdoba,1600,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20velo%20%28CE2454P%29%20-%20Anonymous%2C%20copy%20of%20Raffaello%20Sanzio.jpg,-117.073645,32.777508
Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,Master of Messkirch,Staatsgalerie Stuttgart,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Drehfl%C3%BCgel%20links-offen0004.jpg,9.187105267010025,48.78021455
Saint John the Baptist by Ercole de' Roberti,Ercole de' Roberti,Gemäldegalerie,1480,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20der%20T%C3%A4ufer%20-%20Gem%C3%A4ldegalerie%20Berlin%20-%204280678.jpg,13.36474921508226,52.50851325
The capture of Christ,Master of Messkirch,Staatsgalerie Stuttgart,1536,http://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Me%C3%9Fkirch-Wildensteiner%20Altar-Standfl%C3%BCgel%20links-rechts-geschlossen-0016.jpg,9.187105267010025,48.78021455
